Year,Actor1CountryCode,Actor2CountryCode,AvgTone_Avg
2020,MYS,AUS,-2.157694923723356
2022,IDN,MYS,-0.5672942296473787
2010,HKG,AUS,9.21875
2019,CHE,VNM,0.4729299805203274
2011,CHE,SGP,5.754707228726775
2006,IDN,PHL,4.9106083501841695
2013,VNM,PHL,2.3965946921902774
2020,THA,JPN,-0.9976518734896253
2021,VNM,MYS,-0.8577239403822652
2024,JPN,CHE,0.1663014270158374
2023,IDN,VNM,1.8247755703092057
2024,FRA,ARE,0.6018567555318816
2024,CHE,DEU,-0.2052981896938671
2011,PHL,JPN,5.424084975068543
2021,VNM,USA,-1.1993137723971916
2013,IDN,CHE,3.713768319040192
2017,VNM,IDN,-1.6502203970566014
2024,THA,JPN,0.2573507422041624
2020,ARE,JPN,0.4991281907832447
2017,IND,THA,0.2391338406260136
2017,THA,AUS,-2.6434940135837706
2018,CHE,PHL,-1.8006914319412226
2013,AUS,CHE,3.144712563814381
2021,SGP,IDN,-0.0355383304130039
2023,KOR,IND,1.7186286291155912
2008,PHL,CHN,4.602277003692711
2014,AUS,IDN,2.2076087563155453
2014,VNM,PHL,2.3583059129143287
2007,CHE,ARE,5.66115042105684
2024,NLD,PHL,-1.132394400738394
2008,THA,JPN,3.9938880075246295
2020,CHE,IND,0.1006257228014285
2019,PHL,NLD,-3.3768306720394965
2010,NLD,MYS,6.112571787655209
2018,USA,PHL,-1.6063070548447227
2022,HKG,KOR,1.8067016517049148
2014,AUS,JPN,3.12696500063695
2017,CHE,FRA,-1.369170310150723
2006,THA,FRA,5.719625438839518
2024,THA,NLD,-0.3250842444171355
2015,KOR,CHN,-0.3659656531682616
