year,country_a,country_b,un_dist,sector,value_export,value_import,D
2021,ARE,VNM,1.1703389457546296,bec_8,249645512.4006689,2400921695.809501,0.8532712724640493
2022,ARE,VNM,1.1703389457546296,bec_1,29528633.180746403,241891249.7831751,0.6482459813460186
2022,ARE,VNM,1.1703389457546296,bec_2,21773549.570772823,364988985.2195012,0.6482459813460186
2022,ARE,VNM,1.1703389457546296,bec_3,31168750.49761111,179575598.93876857,0.6482459813460186
2022,ARE,VNM,1.1703389457546296,bec_4,44786392.10901316,246844747.71662965,0.6482459813460186
2022,ARE,VNM,1.1703389457546296,bec_5,10495308.277306529,83953670.32575881,0.6482459813460186
2022,ARE,VNM,1.1703389457546296,bec_6,248774679.45684543,1806640651.1851428,0.6482459813460186
2022,ARE,VNM,1.1703389457546296,bec_7,8349188.768136399,25555635.260373704,0.6482459813460186
2022,ARE,VNM,1.1703389457546296,bec_8,25467210.13956812,2320853.5706499587,0.6482459813460186
2023,ARE,VNM,1.1703389457546296,bec_1,28867026.173995905,352478874.8914381,0.6936335639762222
2023,ARE,VNM,1.1703389457546296,bec_2,12693814.02519349,248114610.6325172,0.6936335639762222
